
## Sheet: Sheet1
 | 功能清单 | DMS1.0 | Pivot | Global
管家app | 设备关联 | ✓ | ✓ | ✓
 | 权限设置 | ✓ | ✓ | ✓
 | 设备参数 | ✓ | ✓ | ✓
 | 弹窗拦截 | ✓ | ✓ | 
 | 设备检测 | ✓ | ✓ | ✓
 | 日志上报 | ✓ | ✓ | ✓
服务器app | 学校关联 | ✓ | ✓ | ✓
 | 状态检测 | ✓ | ✓ | ✓
基础服务 | 语言多样化 | ✓ | ✓ | ✓
 | credit权限分发 | ✓ | ✓ | ✓
 | 账号登录 | ✓ | ✓ | ✓
 | 问题反馈 | ✓ | ✓ | ✓
 | 站内信消息中心 | ✓ | ✓ | ✓
 | credit采购/使用情况 | ✓ | ✓ | ✓
 | 单设备/usb注册 | ✓ | ✓ | ✓
系统类型 | Windows | ✓ | ✓ | ✓
 | Android | ✓ | ✓ | ✓
 | Linux |  |  | ✓
设备列表 | 多层级管理结构 |  |  | ✓
 | 设备自动/手动进组 | ✓ | ✓ | ✓
 | 设备列表信息导出 | ✓ | ✓ | ✓
 | 图表/列表模式切换 | ✓ | ✓ | ✓
 | 自定义列表字段显隐 | ✓ | ✓ | ✓
 | 设备关联信息批量编辑 | ✓ | ✓ | ✓
设备详情页 | 设备基础参数 | ✓ | ✓ | ✓
 | 网络连接情况 | ✓ | ✓ | ✓
 | 设备位置 | ✓ | ✓ | ✓
 | 设备实时截图 | ✓ | ✓ | ✓
 | 远程控制桌面 | ✓ | ✓ | ✓
 | 网速/存储/RAM | ✓ | ✓ | 
 | 设备在离线数据 | ✓ | ✓ | ✓
 | App使用数据 | ✓ | ✓ | ✓
 | 软件运行数据 | ✓ | ✓ | ✓
 | 待执行指令 | ✓ | ✓ | ✓
 | 告警事件明细 | ✓ | ✓ | ✓
 | 外设管理 | ✓ | ✓ | ✓
设备管控 | 开机 | ✓ | ✓ | ✓
 | 关机 | ✓ | ✓ | ✓
 | 重启 | ✓ | ✓ | ✓
 | 锁屏 | ✓ | ✓ | ✓
 | 解锁 | ✓ | ✓ | ✓
 | 打铃 | ✓ | ✓ | ✓
 | 发文本 | ✓ | ✓ | ✓
 | 发文件 | ✓ | ✓ | ✓
 | 发URL | ✓ | ✓ | ✓
 | 亮度模式 | ✓ | ✓ | ✓
 | 图像模式 | ✓ | ✓ | ✓
